0.0500	0.4000	0.1000	0.1000	0.1000	0.1000	0.1000	0.0500
0.1000	0.0500	0.0500	0.1000	0.1000	0.1000	0.1000	0.4000
0.1000	0.0500	0.0500	0.1000	0.1000	0.1000	0.4000	0.1000
0.1000	0.0500	0.0500	0.1000	0.1000	0.4000	0.1000	0.1000
0.1000	0.0500	0.0500	0.1000	0.4000	0.1000	0.1000	0.1000
0.1000	0.0500	0.0500	0.4000	0.1000	0.1000	0.1000	0.1000
0.1000	0.0500	0.1000	0.0500	0.1000	0.1000	0.1000	0.4000
0.1000	0.0500	0.1000	0.0500	0.1000	0.1000	0.4000	0.1000
0.1000	0.0500	0.1000	0.0500	0.1000	0.4000	0.1000	0.1000
0.1000	0.0500	0.1000	0.0500	0.4000	0.1000	0.1000	0.1000
0.1000	0.0500	0.1000	0.1000	0.0500	0.1000	0.1000	0.4000
0.1000	0.0500	0.1000	0.1000	0.0500	0.1000	0.4000	0.1000
0.1000	0.0500	0.1000	0.1000	0.0500	0.4000	0.1000	0.1000
0.1000	0.0500	0.1000	0.1000	0.1000	0.0500	0.1000	0.4000
0.1000	0.0500	0.1000	0.1000	0.1000	0.0500	0.4000	0.1000
0.1000	0.0500	0.1000	0.1000	0.1000	0.1000	0.0500	0.4000
0.1000	0.0500	0.1000	0.1000	0.1000	0.1000	0.4000	0.0500
0.1000	0.0500	0.1000	0.1000	0.1000	0.4000	0.0500	0.1000
0.1000	0.0500	0.1000	0.1000	0.1000	0.4000	0.1000	0.0500
0.1000	0.0500	0.1000	0.1000	0.4000	0.0500	0.1000	0.1000
0.1000	0.0500	0.1000	0.1000	0.4000	0.1000	0.0500	0.1000
0.1000	0.0500	0.1000	0.1000	0.4000	0.1000	0.1000	0.0500
0.1000	0.0500	0.1000	0.4000	0.0500	0.1000	0.1000	0.1000
0.1000	0.0500	0.1000	0.4000	0.1000	0.0500	0.1000	0.1000
0.1000	0.0500	0.1000	0.4000	0.1000	0.1000	0.0500	0.1000
0.1000	0.0500	0.1000	0.4000	0.1000	0.1000	0.1000	0.0500
0.1000	0.0500	0.4000	0.0500	0.1000	0.1000	0.1000	0.1000
0.1000	0.0500	0.4000	0.1000	0.0500	0.1000	0.1000	0.1000
0.1000	0.0500	0.4000	0.1000	0.1000	0.0500	0.1000	0.1000
0.1000	0.0500	0.4000	0.1000	0.1000	0.1000	0.0500	0.1000
0.1000	0.0500	0.4000	0.1000	0.1000	0.1000	0.1000	0.0500
0.1000	0.1000	0.0500	0.0500	0.1000	0.1000	0.1000	0.4000
0.1000	0.1000	0.0500	0.0500	0.1000	0.1000	0.4000	0.1000
0.1000	0.1000	0.0500	0.0500	0.1000	0.4000	0.1000	0.1000
0.1000	0.1000	0.0500	0.0500	0.4000	0.1000	0.1000	0.1000
0.1000	0.1000	0.0500	0.1000	0.0500	0.1000	0.1000	0.4000
0.1000	0.1000	0.0500	0.1000	0.0500	0.1000	0.4000	0.1000
0.1000	0.1000	0.0500	0.1000	0.0500	0.4000	0.1000	0.1000
0.1000	0.1000	0.0500	0.1000	0.1000	0.0500	0.1000	0.4000
0.1000	0.1000	0.0500	0.1000	0.1000	0.0500	0.4000	0.1000
0.1000	0.1000	0.0500	0.1000	0.1000	0.1000	0.0500	0.4000
0.1000	0.1000	0.0500	0.1000	0.1000	0.1000	0.4000	0.0500
0.1000	0.1000	0.0500	0.1000	0.1000	0.4000	0.0500	0.1000
0.1000	0.1000	0.0500	0.1000	0.1000	0.4000	0.1000	0.0500
0.1000	0.1000	0.0500	0.1000	0.4000	0.0500	0.1000	0.1000
0.1000	0.1000	0.0500	0.1000	0.4000	0.1000	0.0500	0.1000
0.1000	0.1000	0.0500	0.1000	0.4000	0.1000	0.1000	0.0500
0.1000	0.1000	0.0500	0.4000	0.0500	0.1000	0.1000	0.1000
0.1000	0.1000	0.0500	0.4000	0.1000	0.0500	0.1000	0.1000
0.1000	0.1000	0.0500	0.4000	0.1000	0.1000	0.0500	0.1000
0.1000	0.1000	0.0500	0.4000	0.1000	0.1000	0.1000	0.0500
0.1000	0.1000	0.1000	0.0500	0.0500	0.1000	0.1000	0.4000
0.1000	0.1000	0.1000	0.0500	0.0500	0.1000	0.4000	0.1000
0.1000	0.1000	0.1000	0.0500	0.0500	0.4000	0.1000	0.1000
0.1000	0.1000	0.1000	0.0500	0.1000	0.0500	0.1000	0.4000
0.1000	0.1000	0.1000	0.0500	0.1000	0.0500	0.4000	0.1000
0.1000	0.1000	0.1000	0.0500	0.1000	0.1000	0.0500	0.4000
0.1000	0.1000	0.1000	0.0500	0.1000	0.1000	0.4000	0.0500
0.1000	0.1000	0.1000	0.0500	0.1000	0.4000	0.0500	0.1000
0.1000	0.1000	0.1000	0.0500	0.1000	0.4000	0.1000	0.0500
0.1000	0.1000	0.1000	0.0500	0.4000	0.0500	0.1000	0.1000
0.1000	0.1000	0.1000	0.0500	0.4000	0.1000	0.0500	0.1000
0.1000	0.1000	0.1000	0.0500	0.4000	0.1000	0.1000	0.0500
0.1000	0.1000	0.1000	0.1000	0.0500	0.0500	0.1000	0.4000
0.1000	0.1000	0.1000	0.1000	0.0500	0.0500	0.4000	0.1000
0.1000	0.1000	0.1000	0.1000	0.0500	0.1000	0.0500	0.4000
0.1000	0.1000	0.1000	0.1000	0.0500	0.1000	0.4000	0.0500
0.1000	0.1000	0.1000	0.1000	0.0500	0.4000	0.0500	0.1000
0.1000	0.1000	0.1000	0.1000	0.0500	0.4000	0.1000	0.0500
0.1000	0.1000	0.1000	0.1000	0.1000	0.0500	0.0500	0.4000
0.1000	0.1000	0.1000	0.1000	0.1000	0.0500	0.4000	0.0500
0.1000	0.1000	0.1000	0.1000	0.1000	0.4000	0.0500	0.0500
0.1000	0.1000	0.1000	0.1000	0.4000	0.0500	0.0500	0.1000
0.1000	0.1000	0.1000	0.1000	0.4000	0.0500	0.1000	0.0500
0.1000	0.1000	0.1000	0.1000	0.4000	0.1000	0.0500	0.0500
0.1000	0.1000	0.1000	0.4000	0.0500	0.0500	0.1000	0.1000
0.1000	0.1000	0.1000	0.4000	0.0500	0.1000	0.0500	0.1000
0.1000	0.1000	0.1000	0.4000	0.0500	0.1000	0.1000	0.0500
0.1000	0.1000	0.1000	0.4000	0.1000	0.0500	0.0500	0.1000
0.1000	0.1000	0.1000	0.4000	0.1000	0.0500	0.1000	0.0500
0.1000	0.1000	0.1000	0.4000	0.1000	0.1000	0.0500	0.0500
0.1000	0.1000	0.4000	0.0500	0.0500	0.1000	0.1000	0.1000
0.1000	0.1000	0.4000	0.0500	0.1000	0.0500	0.1000	0.1000
0.1000	0.1000	0.4000	0.0500	0.1000	0.1000	0.0500	0.1000
0.1000	0.1000	0.4000	0.0500	0.1000	0.1000	0.1000	0.0500
0.1000	0.1000	0.4000	0.1000	0.0500	0.0500	0.1000	0.1000
0.1000	0.1000	0.4000	0.1000	0.0500	0.1000	0.0500	0.1000
0.1000	0.1000	0.4000	0.1000	0.0500	0.1000	0.1000	0.0500
0.1000	0.1000	0.4000	0.1000	0.1000	0.0500	0.0500	0.1000
0.1000	0.1000	0.4000	0.1000	0.1000	0.0500	0.1000	0.0500
0.1000	0.1000	0.4000	0.1000	0.1000	0.1000	0.0500	0.0500
0.1000	0.4000	0.0500	0.0500	0.1000	0.1000	0.1000	0.1000
0.1000	0.4000	0.0500	0.1000	0.0500	0.1000	0.1000	0.1000
0.1000	0.4000	0.0500	0.1000	0.1000	0.0500	0.1000	0.1000
0.1000	0.4000	0.0500	0.1000	0.1000	0.1000	0.0500	0.1000
0.1000	0.4000	0.0500	0.1000	0.1000	0.1000	0.1000	0.0500
0.1000	0.4000	0.1000	0.0500	0.0500	0.1000	0.1000	0.1000
0.1000	0.4000	0.1000	0.0500	0.1000	0.0500	0.1000	0.1000
0.1000	0.4000	0.1000	0.0500	0.1000	0.1000	0.0500	0.1000
0.1000	0.4000	0.1000	0.0500	0.1000	0.1000	0.1000	0.0500
0.1000	0.4000	0.1000	0.1000	0.0500	0.0500	0.1000	0.1000
0.1000	0.4000	0.1000	0.1000	0.0500	0.1000	0.0500	0.1000
0.1000	0.4000	0.1000	0.1000	0.0500	0.1000	0.1000	0.0500
0.1000	0.4000	0.1000	0.1000	0.1000	0.0500	0.0500	0.1000
0.1000	0.4000	0.1000	0.1000	0.1000	0.0500	0.1000	0.0500
0.1000	0.4000	0.1000	0.1000	0.1000	0.1000	0.0500	0.0500
0.4000	0.0500	0.0500	0.1000	0.1000	0.1000	0.1000	0.1000
0.4000	0.0500	0.1000	0.0500	0.1000	0.1000	0.1000	0.1000
0.4000	0.0500	0.1000	0.1000	0.0500	0.1000	0.1000	0.1000
0.4000	0.0500	0.1000	0.1000	0.1000	0.0500	0.1000	0.1000
0.4000	0.0500	0.1000	0.1000	0.1000	0.1000	0.0500	0.1000
0.4000	0.0500	0.1000	0.1000	0.1000	0.1000	0.1000	0.0500
0.4000	0.1000	0.0500	0.0500	0.1000	0.1000	0.1000	0.1000
0.4000	0.1000	0.0500	0.1000	0.0500	0.1000	0.1000	0.1000
0.4000	0.1000	0.0500	0.1000	0.1000	0.0500	0.1000	0.1000
0.4000	0.1000	0.0500	0.1000	0.1000	0.1000	0.0500	0.1000
0.4000	0.1000	0.0500	0.1000	0.1000	0.1000	0.1000	0.0500
0.4000	0.1000	0.1000	0.0500	0.0500	0.1000	0.1000	0.1000
0.4000	0.1000	0.1000	0.0500	0.1000	0.0500	0.1000	0.1000
0.4000	0.1000	0.1000	0.0500	0.1000	0.1000	0.0500	0.1000
0.4000	0.1000	0.1000	0.0500	0.1000	0.1000	0.1000	0.0500
0.4000	0.1000	0.1000	0.1000	0.0500	0.0500	0.1000	0.1000
0.4000	0.1000	0.1000	0.1000	0.0500	0.1000	0.0500	0.1000
0.4000	0.1000	0.1000	0.1000	0.0500	0.1000	0.1000	0.0500
0.4000	0.1000	0.1000	0.1000	0.1000	0.0500	0.0500	0.1000
0.4000	0.1000	0.1000	0.1000	0.1000	0.0500	0.1000	0.0500
0.4000	0.1000	0.1000	0.1000	0.1000	0.1000	0.0500	0.0500
